CustomerID,Recency,Frequency,Monetary
C0001,34,2,985.01
C0002,8,8,618.83
C0003,4,16,796.94
C0004,17,5,634.95
C0005,21,19,296.1
C0006,14,12,210.49
C0007,4,1,518.36
C0008,54,13,74.49
C0009,20,9,559.51
C0010,56,10,418.91
C0011,39,15,586.26
C0012,10,20,466.62
C0013,46,19,138.63
C0014,40,8,949.77
C0015,56,9,77.25
C0016,33,17,903.2
C0017,59,17,270.45
C0018,49,2,59.58
C0019,40,4,41.6
C0020,27,3,135.02
C0021,1,20,532.73
C0022,38,9,724.47
C0023,41,16,413.72
C0024,19,15,538.4
C0025,36,2,867.15
C0026,60,10,339.68
C0027,35,3,329.21
C0028,21,2,600.37
C0029,58,10,79.05
C0030,44,17,894.16
C0031,38,12,862.26
C0032,47,3,875.74
C0033,60,20,159.04
C0034,55,8,188.48
C0035,42,1,462.73
C0036,37,2,173.78
C0037,50,1,553.2
C0038,10,13,527.93
C0039,50,11,601.47
C0040,38,3,186.15
C0041,6,19,184.03
C0042,48,4,813.77
C0043,41,5,125.16
C0044,31,12,824.57
C0045,40,20,753.68
C0046,20,8,301.77
C0047,43,9,396.13
C0048,22,20,930.65
C0049,3,10,983.33
C0050,59,9,778.21
C0051,2,4,985.44
C0052,42,11,285.03
C0053,9,20,239.78
C0054,30,20,19.17
C0055,5,13,66.24
C0056,18,3,407.59
C0057,1,10,790.13
C0058,34,5,338.24
C0059,9,5,744.02
C0060,38,3,969.02
C0061,33,17,574.66
C0062,1,11,40.5
C0063,33,16,738.24
C0064,49,8,337.71
C0065,27,1,849.13
C0066,24,1,986.0
C0067,54,8,374.16
C0068,9,9,925.6
C0069,28,13,324.03
C0070,44,18,549.62
C0071,52,8,853.61
C0072,43,18,548.58
C0073,50,17,369.03
C0074,10,15,689.68
C0075,3,6,558.04
C0076,11,2,250.18
C0077,57,9,480.37
C0078,31,12,723.31
C0079,13,9,358.75
C0080,14,15,965.59
C0081,10,19,771.79
C0082,56,14,435.55
C0083,58,8,572.97
C0084,51,5,609.15
C0085,25,2,549.17
C0086,27,11,107.63
C0087,42,11,750.46
C0088,4,13,200.73
C0089,42,16,596.77
C0090,34,17,810.61
C0091,3,1,150.02
C0092,35,16,782.74
C0093,49,19,475.38
C0094,38,13,163.04
